Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),index
2004-01-01,,,,700.44,,,NSE/CPSE_INDEX
2004-01-02,,,,746.65,,,NSE/CPSE_INDEX
2004-01-05,,,,764.66,,,NSE/CPSE_INDEX
2004-01-06,,,,739.87,,,NSE/CPSE_INDEX
2004-01-07,,,,737.1,,,NSE/CPSE_INDEX
2004-01-08,,,,762.28,,,NSE/CPSE_INDEX
2004-01-09,,,,752.21,,,NSE/CPSE_INDEX
2004-01-12,,,,726.03,,,NSE/CPSE_INDEX
2004-01-13,,,,719.83,,,NSE/CPSE_INDEX
2004-01-14,,,,707.87,,,NSE/CPSE_INDEX
2004-01-15,,,,708.46,,,NSE/CPSE_INDEX
2004-01-16,,,,680.81,,,NSE/CPSE_INDEX
2004-01-19,,,,692.96,,,NSE/CPSE_INDEX
2004-01-20,,,,671.21,,,NSE/CPSE_INDEX
2004-01-21,,,,619.85,,,NSE/CPSE_INDEX
2004-01-22,,,,604.04,,,NSE/CPSE_INDEX
2004-01-23,,,,650.07,,,NSE/CPSE_INDEX
2004-01-27,,,,679.23,,,NSE/CPSE_INDEX
2004-01-28,,,,664.95,,,NSE/CPSE_INDEX
2004-01-29,,,,661.39,,,NSE/CPSE_INDEX
2004-01-30,,,,640.38,,,NSE/CPSE_INDEX
2004-02-03,,,,603.38,,,NSE/CPSE_INDEX
2004-02-04,,,,623.81,,,NSE/CPSE_INDEX
2004-02-05,,,,625.88,,,NSE/CPSE_INDEX
2004-02-06,,,,647.34,,,NSE/CPSE_INDEX
2004-02-09,,,,657.72,,,NSE/CPSE_INDEX
2004-02-10,,,,662.25,,,NSE/CPSE_INDEX
2004-02-11,,,,664.85,,,NSE/CPSE_INDEX
2004-02-12,,,,659.41,,,NSE/CPSE_INDEX
2004-02-13,,,,663.67,,,NSE/CPSE_INDEX
2004-02-16,,,,658.15,,,NSE/CPSE_INDEX
2004-02-17,,,,656.89,,,NSE/CPSE_INDEX
2004-02-18,,,,672.41,,,NSE/CPSE_INDEX
2004-02-19,,,,660.68,,,NSE/CPSE_INDEX
2004-02-20,,,,654.74,,,NSE/CPSE_INDEX
